Country,Country_Subdivision_Primary,Country_Subdivision_Secondary,Spend_USD,Spend_EUR,Spend_INR,Spend_BGN,Spend_HRK,Spend_CZK,Spend_DKK,Spend_HUF,Spend_PLN,Spend_RON,Spend_SEK,Spend_GBP,Spend_NZD
PL,,,1040100,915350,73756750,1809850,6875400,23799000,6906500,296085000,3973400,4399800,9642000,790500,1549800
PT,,,1400,1250,99750,2450,9300,32000,9500,397500,5400,5925,12750,1050,2000
RO,,,1585500,1395250,112428500,2758800,10480200,36276000,10528000,451335000,6056700,6706725,14697750,1205000,2362400
SE,,,104600,92000,7414750,181950,691200,2392000,694500,29767500,399400,442350,969000,79450,155800
SI,,,6900,6100,491000,12050,45800,158000,46000,1972500,26500,29325,64500,5250,10400
SK,,,1280000,1126350,90762000,2227125,8460500,29285000,8499000,364350000,4889400,5414250,11865000,972750,1907200
US,US-AK,AK-AT LARGE,755100,664550,53547500,1313950,4991500,17278000,5014000,214957500,2884700,3194250,7000500,573900,1125200
US,US-AL,AL-1,571600,503050,40534250,994625,3778500,13079000,3795500,162720000,2183600,2418000,5298750,434450,851800
US,US-AL,AL-2,516400,454450,36617750,898525,3413400,11815000,3429000,147000000,1972600,2184375,4787250,392450,769400
US,US-AL,AL-3,572800,504050,40614500,996600,3785900,13105000,3803000,163042500,2187900,2422800,5309250,435300,853400
US,US-AL,AL-4,596000,524450,42259250,1036950,3939300,13635000,3957000,169642500,2276500,2520900,5524500,452950,888000
US,US-AL,AL-5,641100,564150,45457750,1115450,4237400,14668000,4256500,182482500,2448900,2711700,5943000,487200,955200
US,US-AL,AL-6,893500,786250,63355000,1554600,5905700,20442000,5932500,254332500,3413000,3779325,8282250,679050,1331200
US,US-AL,AL-7,461700,406300,32740500,803400,3052000,10564000,3066000,131430000,1763800,1953075,4280250,350900,688000
US,US-AR,AR-1,425300,374250,30156250,739975,2811100,9730000,2824000,121057500,1624500,1798875,3942000,323200,633600
US,US-AR,AR-2,758900,667850,53813500,1320475,5016300,17364000,5039000,216030000,2899000,3210150,7035000,576750,1130800
US,US-AR,AR-3,662400,582900,46970250,1152575,4378400,15156000,4398500,188557500,2530300,2801925,6140250,503400,987000
US,US-AR,AR-4,411200,361900,29160250,715550,2718200,9409000,2730500,117060000,1570900,1739475,3812250,312550,612800
US,US-AZ,AZ-1,2602000,2289750,184506250,4527450,17199100,59533000,17277000,740677500,9939600,11006400,24120000,1977500,3877000
US,US-AZ,AZ-2,1773800,1560950,125780500,3086425,11724900,40585000,11778000,504930000,6775900,7503225,16443000,1348100,2643000
US,US-AZ,AZ-3,1891800,1664750,134145500,3291675,12504600,43284000,12561500,538515000,7226600,8002200,17536500,1437750,2818800
US,US-AZ,AZ-4,2539100,2234400,180047750,4418025,16783500,58095000,16859500,722782500,9699400,10740375,23537250,1929700,3783200
US,US-AZ,AZ-5,1859100,1636000,131828000,3234825,12288600,42536000,12344500,529207500,7101700,7863975,17233500,1412900,2770000
US,US-AZ,AZ-6,2968600,2612350,210501500,5165325,19622300,67921000,19711500,845032500,11340000,12557100,27519000,2256100,4423200
US,US-AZ,AZ-7,3641900,3204900,258249500,6336975,24073200,83327000,24182500,1036710000,13912200,15405375,33760500,2767850,5426400
US,US-AZ,AZ-8,2195000,1931650,155650000,3819375,14509200,50222000,14575000,624840000,8385000,9285000,20348250,1668250,3270600
US,US-AZ,AZ-9,2056200,1809400,145802250,3577725,13591200,47045000,13653000,585307500,7854500,8697525,19060500,1562700,3063600
US,US-CA,CA-1,605600,532900,42940750,1053675,4002800,13855000,4021000,172380000,2313300,2561550,5613750,460250,902200
US,US-CA,CA-10,1156700,1017900,82022500,2012675,7645900,26466000,7680500,329272500,4418600,4892925,10722750,879100,1723600
US,US-CA,CA-11,923600,812800,65495500,1607150,6105300,21133000,6133000,262927500,3528300,3906975,8562000,701950,1376200
US,US-CA,CA-12,1828200,1608850,129639000,3181100,12084500,41830000,12139500,520417500,6983800,7733400,16947750,1389450,2724000
US,US-CA,CA-13,1192100,1049050,84533000,2074275,7879900,27276000,7915500,339345000,4553900,5042625,11051250,906000,1776200
US,US-CA,CA-14,872200,767550,61850000,1517675,5765500,19957000,5791500,248287500,3331900,3689550,8085750,662900,1299600
US,US-CA,CA-15,776900,683700,55091250,1351825,5135400,17776000,5158500,221160000,2967800,3286350,7202250,590450,1157600
US,US-CA,CA-16,522000,459400,37016500,908325,3450500,11944000,3466000,148597500,1994100,2208150,4839000,396750,777800
US,US-CA,CA-17,1476700,1299500,104713250,2569475,9761000,33787000,9805500,420360000,5641000,6246450,13689000,1122300,2200200
US,US-CA,CA-18,1078200,948850,76456750,1876100,7127000,24670000,7159500,306930000,4118800,4560900,9995250,819450,1606600
US,US-CA,CA-19,709300,624200,50299500,1234250,4688800,16230000,4710000,201922500,2709700,3000525,6575250,539100,1057000
US,US-CA,CA-2,870400,766000,61722750,1514575,5753600,19916000,5779500,247777500,3325100,3681975,8069250,661550,1297000
US,US-CA,CA-20,762300,670800,54052500,1326350,5038600,17441000,5061500,216990000,2911900,3224400,7066500,579300,1135800
US,US-CA,CA-21,831000,731300,58929500,1446025,5493200,19014000,5518000,236565000,3174600,3515325,7704000,631600,1238200
US,US-CA,CA-22,766900,674850,54377750,1334325,5068900,17546000,5092000,218295000,2929400,3243825,7108500,582800,1142600
US,US-CA,CA-23,499800,439800,35439000,869600,3303500,11435000,3318500,142267500,1909100,2114025,4632750,379850,744600
US,US-CA,CA-24,766000,674050,54316750,1332825,5063200,17526000,5086000,218047500,2926100,3240150,7101000,582150,1141400
US,US-CA,CA-25,1329000,1169500,94236500,2312375,8784400,30407000,8824500,378300000,5076600,5621475,12319500,1010000,1980200
US,US-CA,CA-26,779300,685800,55261250,1356000,5151300,17831000,5174500,221842500,2977000,3296475,7224000,592300,1161200
US,US-CA,CA-27,769100,676850,54540000,1338300,5084000,17598000,5107000,218947500,2938100,3253500,7130250,584550,1146000
