Country,Country_Subdivision_Primary,Country_Subdivision_Secondary,Spend_USD,Spend_EUR,Spend_INR,Spend_BGN,Spend_HRK,Spend_CZK,Spend_DKK,Spend_HUF,Spend_PLN,Spend_RON,Spend_SEK,Spend_GBP,Spend_NZD
US,US-IN,IN-5,1030100,906450,73042500,1792325,6808800,23568000,6839500,293220000,3934900,4357200,9549000,782850,1534800
US,US-IN,IN-6,741400,652400,52571000,1290000,4900500,16963000,4922500,211042500,2832100,3136050,6872250,563450,1104600
US,US-IN,IN-7,768700,676450,54509000,1337550,5081200,17588000,5104000,218820000,2936500,3251625,7125750,584200,1145400
US,US-IN,IN-8,634800,558650,45017250,1104625,4196400,14525000,4215500,180712500,2425100,2685375,5885250,482500,946000
US,US-IN,IN-9,945600,832150,67053750,1645375,6250500,21636000,6279000,269182500,3612300,3999975,8766000,718650,1409000
US,US-KS,KS-1,511500,450150,36271750,890050,3381100,11704000,3396500,145605000,1954000,2163750,4741500,388750,762200
US,US-KS,KS-2,958400,843350,67958250,1667575,6334800,21928000,6363500,272812500,3661000,4053900,8883750,728350,1428000
US,US-KS,KS-3,1314900,1157100,93238750,2287900,8691400,30085000,8731000,374295000,5022900,5562000,12189000,999300,1959200
US,US-KS,KS-4,612800,539300,43457000,1066350,4050900,14022000,4069500,174450000,2341100,2592375,5681250,465750,913200
US,US-KY,KY-1,959500,844400,68040000,1669575,6342500,21954000,6371500,273135000,3665400,4058775,8895000,729250,1429600
US,US-KY,KY-2,1261400,1110000,89445000,2194825,8337800,28861000,8375500,359070000,4818500,5335650,11693250,958650,1879400
US,US-KY,KY-3,1577900,1388600,111891500,2745625,10430200,36103000,10477500,449175000,6027700,6674700,14627250,1199250,2351200
US,US-KY,KY-4,1416400,1246450,100440250,2464625,9362700,32408000,9405000,403207500,5410800,5991600,13130250,1076500,2110600
US,US-KY,KY-5,973900,857000,69057250,1694550,6437300,22282000,6466500,277222500,3720200,4119450,9027750,740150,1451000
US,US-KY,KY-6,1793700,1578450,127189000,3120975,11856200,41039000,11910000,510585000,6851800,7587225,16627500,1363200,2672600
US,US-LA,LA-1,693200,610000,49152250,1206100,4581800,15860000,4602500,197317500,2647900,2932050,6426000,526800,1032800
US,US-LA,LA-2,631800,556000,44802250,1099350,4176300,14456000,4195500,179850000,2413500,2672550,5856750,480200,941400
US,US-LA,LA-3,499300,439350,35402000,868700,3300100,11423000,3315000,142117500,1907200,2111850,4628250,379450,743800
US,US-LA,LA-4,431600,379750,30601500,750900,2852600,9874000,2865500,122842500,1648500,1825500,4000500,328000,643000
US,US-LA,LA-5,367100,323050,26029750,638725,2426400,8399000,2437500,104490000,1402200,1552725,3402750,279000,547000
US,US-LA,LA-6,491200,432300,34834250,854775,3247100,11240000,3262000,139837500,1876600,2077950,4554000,373350,732000
US,US-MA,MA-1,934000,821900,66227750,1625100,6173500,21369000,6201500,265860000,3567800,3950700,8658000,709800,1391600
US,US-MA,MA-2,817400,719300,57962000,1422275,5403000,18702000,5427500,232680000,3122500,3457650,7577250,621250,1218000
US,US-MA,MA-3,898700,790800,63723750,1563650,5940100,20561000,5967000,255810000,3432900,3801300,8330250,683000,1339000
US,US-MA,MA-4,980400,862700,69517000,1705825,6480200,22431000,6509500,279067500,3745000,4146900,9087750,745050,1460800
US,US-MA,MA-5,1133700,997650,80391500,1972650,7493800,25939000,7528000,322725000,4330800,4795575,10509750,861600,1689200
US,US-MA,MA-6,901300,793200,63914750,1568350,5957900,20623000,5985000,256575000,3443200,3812700,8355750,685000,1343000
US,US-MA,MA-7,1013500,891850,71864000,1763400,6698900,23188000,6729500,288487500,3871400,4286925,9394500,770250,1510000
US,US-MA,MA-8,1608000,1415100,114026750,2798000,10629200,36792000,10677500,457747500,6142700,6802050,14906250,1222100,2396000
US,US-MA,MA-9,928700,817250,65854500,1615950,6138800,21249000,6166500,264367500,3547700,3928425,8609250,705800,1383800
US,US-MD,MD-1,519900,457500,36865250,904600,3436500,11895000,3452000,147990000,1986000,2199150,4819500,395100,774600
US,US-MD,MD-2,721100,634600,51135250,1254775,4766700,16499000,4788500,205275000,2754700,3050400,6684750,548050,1074400
US,US-MD,MD-3,634800,558600,45013500,1104550,4196000,14524000,4215000,180705000,2424900,2685225,5884500,482450,945800
US,US-MD,MD-4,559500,492400,39677750,973625,3698600,12802000,3715500,159285000,2137500,2366925,5187000,425250,833800
US,US-MD,MD-5,817800,719650,57987500,1422900,5405400,18710000,5430000,232785000,3123900,3459150,7581000,621500,1218400
US,US-MD,MD-6,777300,684000,55117750,1352475,5137900,17784000,5161000,221265000,2969300,3287925,7205250,590750,1158200
US,US-MD,MD-7,454200,399750,32210500,790375,3002600,10393000,3016000,129307500,1735200,1921425,4210500,345250,676800
US,US-MD,MD-8,1160100,1020850,82260250,2018500,7668000,26542000,7703000,330225000,4431400,4907100,10753500,881650,1728400
US,US-ME,ME-1,2806500,2469750,199010250,4883350,18551100,64213000,18635500,798900000,10720900,11871600,26016750,2132950,4181800
US,US-ME,ME-2,2536100,2231750,179833000,4412775,16763400,58025000,16839500,721920000,9687800,10727625,23509500,1927400,3778800
US,US-MI,MI-1,1186300,1043950,84121750,2064200,7841600,27143000,7877000,337695000,4531700,5018100,10997250,901600,1767600
US,US-MI,MI-10,1279100,1125600,90699250,2225600,8454700,29265000,8493000,364102500,4886100,5410500,11856750,972100,1905800
US,US-MI,MI-11,2530800,2227150,179461500,4403650,16728800,57906000,16804500,720427500,9667800,10705425,23460750,1923450,3771000
US,US-MI,MI-12,2079400,1829850,147448000,3618100,13744600,47576000,13807000,591915000,7943200,8795700,19275750,1580300,3098200
US,US-MI,MI-13,1663500,1463850,117957500,2894450,10995600,38060000,11045500,473527500,6354500,7036500,15420750,1264250,2478600
US,US-MI,MI-14,2091000,1840050,148270500,3638275,13821300,47841000,13884000,595215000,7987500,8844750,19383000,1589150,3115600
US,US-MI,MI-2,1370000,1205600,97148500,2383850,9055900,31346000,9097000,389992500,5233500,5795175,12700500,1041200,2041400
US,US-MI,MI-3,1634700,1438550,115919250,2844450,10805600,37403000,10854500,465345000,6244700,6914925,15153750,1242400,2435800
US,US-MI,MI-4,1106100,973350,78432000,1924575,7311200,25307000,7344500,314857500,4225200,4678725,10253250,840600,1648000
US,US-MI,MI-5,1371900,1207250,97281250,2387100,9068200,31389000,9109500,390525000,5240600,5803125,12717750,1042650,2044200
US,US-MI,MI-6,1291500,1136500,91577750,2247150,8536600,29549000,8575500,367627500,4933400,5462925,11972250,981500,1924200
US,US-MI,MI-7,1261900,1110500,89484750,2195800,8341500,28873000,8379500,359227500,4820600,5338050,11698500,959100,1880400
US,US-MI,MI-8,1813900,1596200,128622750,3156175,11989800,41502000,12044000,516337500,6929000,7672725,16815000,1378550,2702600
US,US-MI,MI-9,1651600,1453400,117113750,2873750,10917000,37788000,10966500,470137500,6309000,6986175,15310500,1255200,2460800
US,US-MN,MN-1,1436900,1264450,101888250,2500150,9497700,32876000,9541000,409020000,5488800,6077925,13320000,1092000,2141000
US,US-MN,MN-2,1416300,1246300,100426750,2464300,9361500,32404000,9404000,403155000,5410100,5990775,13128750,1076350,2110200
US,US-MN,MN-3,1209700,1064550,85781500,2104925,7996300,27678000,8032500,344362500,4621100,5117100,11214000,919400,1802400
US,US-MN,MN-4,1473400,1296600,104479500,2563725,9739200,33712000,9783500,419422500,5628400,6232500,13658250,1119800,2195400
US,US-MN,MN-5,2839500,2498750,201348750,4940725,18769100,64968000,18854500,808290000,10846900,12011100,26322000,2158000,4230800
US,US-MN,MN-6,858300,755300,60859750,1493375,5673100,19637000,5699000,244312500,3278600,3630450,7956000,652300,1278800
US,US-MN,MN-7,852300,750000,60435000,1482950,5633500,19500000,5659000,242610000,3255700,3605100,7900500,647750,1269800
US,US-MN,MN-8,928700,817250,65855000,1615950,6138800,21249000,6166500,264367500,3547700,3928425,8609250,705800,1383800
US,US-MO,MO-1,1970000,1733600,139694500,3427850,13021900,45074000,13081000,560790000,7525500,8333175,18262500,1497200,2935400
US,US-MO,MO-2,1119300,985000,79370000,1947600,7398600,25610000,7432000,318622500,4275800,4734675,10376250,850650,1667800
US,US-MO,MO-3,912000,802600,64671250,1586925,6028400,20867000,6056000,259612500,3483900,3857850,8454750,693150,1359000
US,US-MO,MO-4,919500,809200,65205000,1600000,6078200,21039000,6106000,261757500,3512700,3889650,8524500,698850,1370200
US,US-MO,MO-5,1456900,1282100,103310000,2535025,9630200,33334000,9674000,414727500,5565400,6162750,13506000,1107250,2170800
US,US-MO,MO-6,840600,739700,59605500,1462600,5556200,19232000,5581500,239280000,3211000,3555675,7792500,638850,1252400
US,US-MO,MO-7,1004600,884100,71238500,1748050,6640600,22986000,6671000,285982500,3837700,4249575,9312750,763500,1497000
US,US-MO,MO-8,723100,636350,51276500,1258225,4779800,16545000,4801500,205845000,2762300,3058800,6703500,549550,1077400
US,US-MS,MS-1,605800,533150,42959000,1054125,4004500,13861000,4022500,172455000,2314300,2562675,5616000,460450,902600
US,US-MS,MS-2,483700,425650,34297500,841600,3197100,11067000,3211500,137685000,1847600,2045925,4483500,367600,720600
US,US-MS,MS-3,692600,609500,49111500,1205100,4578000,15846000,4599000,197152500,2645700,2929650,6420000,526350,1032000
US,US-MS,MS-4,721900,635250,51188500,1256075,4771600,16517000,4793500,205492500,2757600,3053550,6691500,548650,1075600
US,US-MT,MT-AT LARGE,5286800,4652400,374886500,9199025,34945700,120962000,35104500,1504942500,20195600,22363125,49008750,4017950,7877400
US,US-NC,NC-1,1757900,1547000,124655000,3058800,11619900,40222000,11672500,500415000,6715300,7436025,16296000,1336050,2619400
US,US-NC,NC-10,1392600,1225550,98752250,2423200,9205400,31864000,9247000,396427500,5319900,5890875,12909750,1058400,2075000
US,US-NC,NC-11,1860500,1637250,131929750,3237300,12298100,42569000,12354000,529620000,7107200,7870050,17247000,1414000,2772200
US,US-NC,NC-12,3160300,2781100,224098500,5498975,20889700,72308000,20984500,899617500,12072400,13368150,29296500,2401850,4708800
US,US-NC,NC-13,1622700,1427950,115062750,2823425,10725800,37126000,10774500,461902500,6198600,6863850,15042000,1233200,2417800
US,US-NC,NC-2,2463900,2168200,174712750,4287125,16286200,56373000,16360000,701362500,9412000,10422150,22839750,1872550,3671200
US,US-NC,NC-3,1453400,1279000,103062000,2528950,9607100,33254000,9650500,413730000,5552100,6147975,13473000,1104600,2165600
US,US-NC,NC-4,2478600,2181150,175757000,4312750,16383500,56710000,16458000,705555000,9468200,10484475,22976250,1883750,3693200
US,US-NC,NC-5,1805500,1588850,128027500,3141550,11934300,41310000,11988500,513952500,6897000,7637250,16737000,1372200,2690200
US,US-NC,NC-6,1780400,1566750,126247500,3097875,11768400,40735000,11822000,506805000,6801100,7531050,16504500,1353100,2652800
US,US-NC,NC-7,1852600,1630300,131369250,3223550,12245800,42388000,12301500,527370000,7077000,7836600,17173500,1408000,2760400
US,US-NC,NC-8,1992800,1753650,141308750,3467450,13172300,45595000,13232000,567270000,7612500,8429475,18473250,1514500,2969200
US,US-NC,NC-9,2158900,1899850,153089000,3756525,14270500,49396000,14335000,614557500,8247100,9132225,20013000,1640800,3216800
US,US-ND,ND-AT LARGE,1155600,1016900,81943000,2010725,7638500,26440000,7673000,328950000,4414400,4888125,10712250,878250,1721800
US,US-NE,NE-1,432500,380600,30667250,752525,2858700,9895000,2871500,123112500,1652100,1829400,4008750,328700,644400
US,US-NE,NE-2,1162500,1023000,82431750,2022725,7684000,26598000,7719000,330915000,4440700,4917300,10776000,883500,1732200
US,US-NE,NE-3,282400,248500,20024750,491375,1866600,6461000,1875000,80385000,1078800,1194525,2617500,214600,420800
US,US-NH,NH-1,2775100,2442100,196783250,4828700,18343500,63495000,18426500,789960000,10600900,11738700,25725000,2109100,4135000
US,US-NH,NH-2,2440200,2147400,173037250,4246025,16130000,55833000,16203000,694635000,9321700,10322175,22620750,1854600,3636000
US,US-NJ,NJ-1,907000,798150,64316250,1578200,5995400,20752000,6022500,258187500,3464800,3836700,8408250,689350,1351400
US,US-NJ,NJ-10,690100,607250,48932500,1200700,4561300,15789000,4582000,196432500,2636000,2919000,6396750,524450,1028200
US,US-NJ,NJ-11,957500,842600,67897750,1666075,6329200,21908000,6358000,272565000,3657700,4050300,8876250,727700,1426800
US,US-NJ,NJ-12,692900,609800,49136250,1205725,4580300,15854000,4601000,197250000,2647000,2931150,6423750,526650,1032400
US,US-NJ,NJ-2,733900,645850,52042000,1277025,4851200,16792000,4873000,208920000,2803600,3104475,6803250,557800,1093600
US,US-NJ,NJ-3,1234300,1086150,87523250,2147650,8158600,28240000,8195500,351352500,4715000,5221050,11442000,938050,1839000
US,US-NJ,NJ-4,710000,624800,50348000,1235450,4693300,16245000,4714500,202117500,2712300,3003450,6582000,539600,1058000
US,US-NJ,NJ-5,785100,690850,55668750,1366000,5189300,17962000,5213000,223477500,2998900,3320850,7277250,596650,1169800
US,US-NJ,NJ-6,654300,575750,46393000,1138400,4324600,14969000,4344000,186240000,2499200,2767500,6065250,497250,974800
US,US-NJ,NJ-7,1426200,1255050,101130750,2481550,9427100,32631000,9470000,405975000,5448000,6032775,13221000,1083900,2125000
US,US-NJ,NJ-8,1153700,1015300,81810750,2007475,7626100,26397000,7661000,328417500,4407200,4880250,10695000,876850,1719000
US,US-NJ,NJ-9,923200,812450,65465750,1606400,6102500,21123000,6130000,262807500,3526700,3905250,8558250,701650,1375600
US,US-NM,NM-1,632000,556200,44817500,1099750,4177700,14461000,4196500,179917500,2414400,2673525,5859000,480350,941800
US,US-NM,NM-2,1059100,932050,75102250,1842875,7000800,24233000,7032500,301492500,4045800,4480050,9818250,804950,1578000
US,US-NM,NM-3,552900,486550,39206500,962050,3654700,12650000,3671500,157387500,2112100,2338800,5125500,420200,823800
US,US-NV,NV-1,2987200,2628700,211821250,5197700,19745300,68347000,19835000,850335000,11411000,12635775,27691500,2270250,4451000
US,US-NV,NV-2,1963400,1727800,139224000,3416300,12978000,44922000,13037000,558900000,7500200,8305125,18201000,1492200,2925400
US,US-NV,NV-3,2859100,2516050,202740500,4974875,18898800,65417000,18984500,813877500,10921900,12094125,26504250,2172950,4260000
US,US-NV,NV-4,1547000,1361300,109694500,2691700,10225400,35394000,10272000,440355000,5909400,6543600,14340000,1175700,2305000
US,US-NY,NY-1,943500,830250,66900000,1641600,6236200,21586000,6264500,268560000,3604000,3990825,8745750,717000,1405800
US,US-NY,NY-10,1134000,997900,80411250,1973150,7495700,25946000,7529500,322800000,4331800,4796775,10512000,861850,1689600
US,US-NY,NY-11,1055600,928900,74850250,1836675,6977300,24151000,7009000,300480000,4032300,4465050,9785250,802250,1572800
US,US-NY,NY-12,1133800,997750,80399000,1972850,7494500,25942000,7528500,322755000,4331200,4796025,10510500,861700,1689400
US,US-NY,NY-13,639800,563050,45369250,1113275,4229200,14639000,4248500,182130000,2444100,2706450,5931000,486250,953400
US,US-NY,NY-14,815600,717750,57837000,1419225,5391400,18662000,5416000,232177500,3115700,3450150,7560750,619900,1215400
US,US-NY,NY-15,687700,605150,48761750,1196525,4545400,15734000,4566000,195750000,2626900,2908800,6374250,522600,1024600
US,US-NY,NY-16,849900,747850,60263000,1478750,5617500,19445000,5643000,241920000,3246400,3594900,7878000,645900,1266200
US,US-NY,NY-17,710700,625400,50395250,1236600,4697700,16261000,4719000,202305000,2714800,3006225,6588000,540150,1059000
US,US-NY,NY-18,647400,569700,45908250,1126500,4279400,14813000,4299000,184290000,2473100,2738550,6001500,492050,964600
US,US-NY,NY-19,985500,867250,69883500,1714800,6514300,22549000,6544000,280537500,3764700,4168800,9135750,749000,1468400
US,US-NY,NY-2,695200,611750,49294500,1209600,4595100,15905000,4616000,197887500,2655600,2940600,6444000,528350,1035800
US,US-NY,NY-20,661200,581850,46887000,1150525,4370700,15129000,4390500,188220000,2525900,2796975,6129750,502550,985200
US,US-NY,NY-21,484800,426650,34377750,843575,3204600,11092000,3219000,138007500,1852000,2050725,4494000,368450,722400
US,US-NY,NY-22,980700,862950,69538000,1706325,6482100,22437000,6511500,279150000,3746100,4148175,9090750,745300,1461200
US,US-NY,NY-23,515100,453250,36522500,896200,3404500,11784000,3420000,146617500,1967500,2178675,4774500,391450,767400
US,US-NY,NY-24,780300,686700,55333750,1357800,5158000,17854000,5181500,222127500,2980900,3300825,7233750,593050,1162800
US,US-NY,NY-25,529900,466350,37577000,922075,3502800,12125000,3518500,150847500,2024300,2241600,4912500,402750,789600
US,US-NY,NY-26,565700,497850,40117000,984400,3739600,12944000,3756500,161047500,2161100,2393100,5244750,429950,843000
US,US-NY,NY-27,400100,352050,28369500,696125,2644500,9154000,2656500,113887500,1528300,1692300,3708750,304050,596200
US,US-NY,NY-3,701700,617500,49758250,1220975,4638300,16055000,4659500,199747500,2680500,2968275,6504750,533300,1045600
US,US-NY,NY-4,671100,590600,47589750,1167775,4436200,15355000,4456500,191047500,2563700,2838900,6221250,510050,1000000
US,US-NY,NY-5,594700,523350,42172250,1034825,3931200,13607000,3949000,169297500,2271900,2515725,5513250,452000,886200
US,US-NY,NY-6,531600,467800,37695750,924975,3513900,12163000,3530000,151327500,2030700,2248650,4928250,404000,792000
US,US-NY,NY-7,834600,734450,59181250,1452200,5516700,19096000,5541500,237577500,3188200,3530325,7737000,634300,1243600
US,US-NY,NY-8,369100,324800,26170250,642175,2439500,8444000,2450500,105060000,1409800,1561125,3421500,280500,550000
US,US-NY,NY-9,611000,537650,43323750,1063075,4038500,13979000,4057000,173917500,2333900,2584425,5664000,464350,910400
US,US-OH,OH-1,1218000,1071900,86371750,2119400,8051300,27869000,8088000,346732500,4652900,5152350,11291250,925700,1814800
US,US-OH,OH-10,707800,622850,50188250,1231525,4678400,16194000,4699500,201472500,2703700,2993850,6561000,537900,1054600
US,US-OH,OH-11,882700,776800,62594000,1535950,5834800,20197000,5861500,251280000,3372000,3733950,8182500,670850,1315200
US,US-OH,OH-12,1021100,898600,72409250,1776775,6749700,23364000,6780500,290677500,3900800,4319400,9465750,776050,1521600
US,US-OH,OH-13,641900,564850,45515500,1116875,4242800,14686000,4262000,182715000,2452000,2715150,5950500,487850,956400
US,US-OH,OH-14,856400,753600,60725750,1490100,5660700,19594000,5686500,243780000,3271400,3622500,7938750,650850,1276000
US,US-OH,OH-15,1077100,947850,76378500,1874200,7119800,24644000,7152000,306615000,4114600,4556250,9984750,818600,1605000
US,US-OH,OH-16,737400,648950,52291750,1283150,4874500,16873000,4896500,209917500,2817000,3119325,6836250,560450,1098800
US,US-OH,OH-2,940700,827850,66706500,1636850,6218200,21524000,6246500,267787500,3593500,3979275,8720250,714950,1401600
US,US-OH,OH-3,813200,715650,57667500,1415050,5375600,18607000,5400000,231502500,3106600,3440025,7539000,618050,1211800
US,US-OH,OH-4,707200,622300,50144750,1230450,4674300,16180000,4695500,201300000,2701400,2991300,6555750,537450,1053600
US,US-OH,OH-5,713300,627700,50581750,1241175,4715100,16321000,4736500,203055000,2724900,3017325,6612750,542150,1062800
US,US-OH,OH-6,505200,444600,35825750,879100,3339600,11560000,3354500,143820000,1930000,2137125,4683750,383950,752800
US,US-OH,OH-7,651700,573550,46214750,1134025,4308000,14912000,4327500,185527500,2489600,2756850,6041250,495300,971000
US,US-OH,OH-8,632600,556700,44860500,1100800,4181800,14475000,4200500,180090000,2416700,2676075,5864250,480800,942600
US,US-OH,OH-9,587100,516600,41628750,1021500,3880500,13432000,3898000,167115000,2242600,2483325,5442000,446150,874800
US,US-OK,OK-1,724600,637650,51383000,1260850,4789800,16579000,4811500,206272500,2768100,3065175,6717000,550700,1079600
US,US-OK,OK-2,408200,359200,28944250,710250,2698100,9339000,2710500,116190000,1559300,1726650,3783750,310200,608200
US,US-OK,OK-3,426700,375550,30260000,742525,2820700,9764000,2833500,121477500,1630100,1805100,3955500,324300,635800
US,US-OK,OK-4,495200,435750,35112000,861575,3273000,11329000,3288000,140955000,1891500,2094525,4590000,376300,737800
US,US-OK,OK-5,993800,874600,70473250,1729275,6569300,22739000,6599000,282907500,3796500,4203975,9213000,755300,1480800
US,US-OR,OR-1,799400,703500,56689000,1391050,5284400,18291000,5308500,227572500,3053900,3381675,7410750,607600,1191200
US,US-OR,OR-2,802600,706300,56914750,1396575,5305400,18364000,5329500,228480000,3066100,3395175,7440750,610000,1196000
US,US-OR,OR-3,960800,845550,68133000,1671850,6351100,21984000,6380000,273510000,3670400,4064325,8907000,730250,1431600
US,US-OR,OR-4,621800,547200,44093750,1081975,4110300,14227000,4129000,177007500,2375400,2630325,5764500,472600,926600
US,US-OR,OR-5,811300,713950,57528000,1411625,5362600,18562000,5387000,230940000,3099100,3431700,7520250,616550,1208800
US,US-PA,PA-1,2126600,1871450,150800250,3700350,14057100,48658000,14121000,605370000,8123800,8995725,19713750,1616250,3168600
US,US-PA,PA-10,1580400,1390800,112068750,2749950,10446700,36160000,10494000,449887500,6037300,6685275,14650500,1201150,2354800
US,US-PA,PA-11,1275600,1122500,90452000,2219525,8431600,29185000,8470000,363112500,4872800,5395725,11824500,969450,1900600
US,US-PA,PA-12,1133000,997000,80339250,1971375,7489000,25923000,7523000,322515000,4328000,4792500,10503000,861050,1688200
US,US-PA,PA-13,1131900,996050,80262000,1969475,7481800,25898000,7515500,322200000,4323800,4787850,10492500,860250,1686600
US,US-PA,PA-14,1337800,1177200,94860000,2327700,8842500,30608000,8882500,380805000,5110200,5658675,12401250,1016700,1993200
US,US-PA,PA-15,899000,791100,63746500,1564225,5942200,20569000,5969000,255900000,3434100,3802650,8333250,683200,1339400
US,US-PA,PA-16,1314300,1156550,93195250,2286825,8687400,30071000,8727000,374122500,5020500,5559375,12183000,998850,1958200
US,US-PA,PA-17,1139600,1002800,80806750,1982850,7532500,26073000,7566500,324390000,4353100,4820400,10563750,866050,1698000
US,US-PA,PA-18,2155700,1897000,152858000,3750850,14248900,49322000,14313500,613627500,8234600,9118425,19983000,1638300,3212000
US,US-PA,PA-2,1767400,1555300,125323500,3075200,11682200,40437000,11735500,503092500,6751300,7475925,16383750,1343200,2633400
US,US-PA,PA-3,1946800,1713200,138050250,3387500,12868600,44544000,12927000,554190000,7436900,8235150,18047250,1479600,2900800
US,US-PA,PA-4,1773200,1560400,125735750,3085325,11720700,40570000,11774000,504750000,6773500,7500525,16437000,1347600,2642000
US,US-PA,PA-5,1819200,1600900,129001250,3165450,12025100,41624000,12079500,517860000,6949400,7695300,16864500,1382600,2710600
US,US-PA,PA-6,1674600,1473650,118746500,2913825,11069200,38315000,11119500,476692500,6397000,7083600,15523500,1272700,2495200
US,US-PA,PA-7,1506600,1325800,106834000,2621500,9958700,34471000,10004000,428872500,5755300,6372975,13966500,1145050,2244800
US,US-PA,PA-8,1400400,1232400,99305250,2436775,9256900,32042000,9299000,398647500,5349700,5923875,12981750,1064350,2086600
US,US-PA,PA-9,1109000,975950,78642000,1929725,7330800,25375000,7364000,315697500,4236500,4691250,10281000,842850,1652400
US,US-RI,RI-1,436400,384000,30942250,759275,2884300,9984000,2897500,124215000,1666900,1845825,4044750,331650,650200
US,US-RI,RI-2,396300,348800,28104250,689625,2619800,9068000,2631500,112822500,1514000,1676475,3674250,301200,590600
US,US-SC,SC-1,1797400,1581700,127452000,3127425,11880700,41124000,11934500,511642500,6866000,7602900,16662000,1366000,2678000
US,US-SC,SC-2,1411100,1241750,100060000,2455300,9327300,32286000,9369500,401677500,5390300,5968875,13080750,1072400,2102600
US,US-SC,SC-3,912100,802600,64673750,1586975,6028700,20868000,6056000,259627500,3484100,3858000,8454750,693150,1359000
US,US-SC,SC-4,1278600,1125200,90668000,2224825,8451800,29255000,8490000,363975000,4884400,5408625,11853000,971750,1905200
US,US-SC,SC-5,1647500,1449800,116823500,2866625,10889900,37695000,10939500,468975000,6293400,6968850,15272250,1252100,2454800
US,US-SC,SC-6,1045500,920050,74135250,1819150,6910600,23921000,6942000,297607500,3993700,4422375,9691500,794550,1557800
US,US-SC,SC-7,1404800,1236200,99613250,2444325,9285600,32141000,9328000,399885000,5366300,5942250,13022250,1067650,2093200
US,US-SD,SD-AT LARGE,496200,436700,35187500,863450,3280100,11354000,3295000,141255000,1895600,2099025,4599750,377150,739400
US,US-TN,TN-1,997800,878050,70754000,1736175,6595500,22830000,6625500,284032500,3811600,4220700,9249750,758350,1486800
US,US-TN,TN-2,1112500,978950,78884500,1935675,7353400,25453000,7386500,316672500,4249600,4705725,10312500,845450,1657600
US,US-TN,TN-3,995400,875950,70584250,1732000,6579600,22775000,6609500,283350000,3802400,4210575,9227250,756500,1483200
US,US-TN,TN-4,1064400,936650,75476750,1852050,7035700,24353000,7067500,302992500,4066000,4502400,9867000,808950,1586000
US,US-TN,TN-5,2359700,2076550,167328750,4105950,15597900,53991000,15668500,671722500,9014200,9981675,21874500,1793400,3516000
US,US-TN,TN-6,957900,842950,67926000,1666775,6331800,21917000,6360500,272677500,3659200,4052025,8880000,728000,1427200
US,US-TN,TN-7,974700,857700,69113250,1695900,6442500,22300000,6472000,277447500,3723200,4122825,9035250,740750,1452200
US,US-TN,TN-8,759100,667950,53824750,1320750,5017400,17367000,5040000,216075000,2899600,3210825,7036500,576900,1131000
US,US-TN,TN-9,1435100,1262900,101763750,2497100,9486100,32835000,9529000,408517500,5482100,6070500,13303500,1090700,2138400
US,US-TX,TX-1,488500,429850,34637000,849925,3228800,11176000,3243500,139050000,1865900,2066175,4527750,371250,727800
US,US-TX,TX-10,1074000,945100,76157750,1868775,7099200,24573000,7131500,305722500,4102700,4543050,9956250,816250,1600200
US,US-TX,TX-11,476900,419650,33816000,829775,3152200,10911000,3166500,135750000,1821700,2017200,4420500,362450,710600
US,US-TX,TX-12,666100,586200,47235250,1159075,4403100,15241000,4423000,189622500,2544600,2817750,6174750,506250,992600
US,US-TX,TX-13,437300,384800,31007500,760875,2890400,10005000,2903500,124477500,1670400,1849725,4053750,332350,651600
US,US-TX,TX-14,518400,456200,36760750,902050,3426700,11861000,3442500,147570000,1980300,2192925,4806000,394000,772400
US,US-TX,TX-15,599300,527400,42497000,1042800,3961400,13712000,3979500,170602500,2289400,2535075,5555250,455500,893000
US,US-TX,TX-16,639500,562700,45343750,1112650,4226800,14631000,4246000,182025000,2442700,2704875,5928000,486000,952800
US,US-TX,TX-17,500000,440000,35453500,869950,3304900,11439000,3320000,142320000,1909900,2114925,4635000,380000,745000
US,US-TX,TX-18,1549300,1363450,109864250,2695875,10241200,35449000,10287500,441037500,5918500,6553725,14362500,1177500,2308600
US,US-TX,TX-19,421400,370850,29882000,733250,2785500,9642000,2798000,119955000,1609800,1782525,3906750,320250,627800
US,US-TX,TX-2,738000,649400,52328250,1284025,4877900,16884000,4900000,210067500,2819000,3121575,6840750,560850,1099600
US,US-TX,TX-20,524600,461650,37200750,912850,3467700,12003000,3483500,149340000,2004000,2219175,4863000,398700,781600
US,US-TX,TX-21,1030200,906550,73050500,1792525,6809500,23571000,6840500,293250000,3935300,4357725,9549750,782950,1535000
US,US-TX,TX-22,987700,869150,70035000,1718525,6528400,22598000,6558000,281145000,3772900,4177800,9155250,750600,1471600
US,US-TX,TX-23,958200,843250,67948750,1667325,6334000,21925000,6362500,272775000,3660500,4053375,8883000,728250,1427800
US,US-TX,TX-24,1302100,1145900,92335250,2265725,8607200,29793000,8646500,370672500,4974200,5508075,12071250,989650,1940200
US,US-TX,TX-25,1175900,1034850,83386250,2046150,7773000,26906000,7808500,334747500,4492100,4974225,10901250,893700,1752200
US,US-TX,TX-26,723000,636250,51268000,1258025,4779000,16542000,4800500,205807500,2761900,3058275,6702000,549500,1077200
US,US-TX,TX-27,990500,871650,70239000,1723525,6547500,22664000,6577000,281970000,3783900,4189950,9182250,752800,1476000
US,US-TX,TX-28,773900,681000,54874500,1346525,5115200,17706000,5138500,220290000,2956100,3273450,7173750,588150,1153000
