,,,,Turnout Rate,Denominators,,Vote in Party Contest,,,,Notes,
Date,State,Election Type,Party,VEP Total Ballots Counted,Voting-Eligible Population (VEP),Voting-Age Population (VAP),Democrat,Republican,Minor,Total Ballots Counted,Total Ballots Counted May Include Under and Over Votes,
,Delaware (7/7),Primary,D&R,17.5%,"716,880","776,172","91,682","32,796",,"125,101",https://elections.delaware.gov/results/html/index.shtml?electionId=PP2020,
,Maryland (6/2),Primary,D&R,33.1%,"4,316,380","4,721,347","1,050,773","342,290",,"1,428,059",https://elections.maryland.gov/county_status_page_root.html,
,New York (6/23),Primary,D&R,5.5%,"13,603,319","15,395,670","752,515",,,"752,515",https://nyenr.elections.ny.gov/,
,Pennsylvania (6/2),Primary,D&R,28.1%,"9,750,695","10,179,122","1,595,508","1,143,499",,"2,739,007",https://electionreturns.pa.gov/,
,Rhode Island (6/2),Primary,D&R,15.7%,"802,987","856,517","103,982","22,009",,"125,991",https://www.ri.gov/election/results/2020/presidential_preference_primary/,
5/2/2020,Kansas,Primary,D,7.1%,"2,079,771","2,219,423","146,873",,,"146,873",https://kansasdems.org/2020primaryresults,
5/5/2020,Indiana (6/2),Primary,D&R,21.8%,"4,977,396","5,195,683","497,927","549,246",,"1,084,167",https://enr.indianavoters.in.gov/site/index.html,
5/12/2020,Nebraska,Primary,D&R,35.8%,"1,376,903","1,465,549","164,582","266,655",,"492,580",https://electionresults.nebraska.gov/,
,West Virginia (6/9),Primary,D&R,32.2%,"1,400,416","1,426,029","187,390","210,506",,"450,742",https://results.enr.clarityelections.com/WV/103231/web.254232/#/summary,
5/19/2020,Kentucky (6/23/2020),Primary,D&R,30.3%,"3,315,722","3,473,836","537,904","429,001",,"1,003,678",https://results.enr.clarityelections.com/KY/103779/web.255599/#/summary,
,Oregon,Primary,D&R,42.0%,"3,145,726","3,385,355","618,711","385,287",,"1,320,789",https://results.oregonvotes.gov/,
6/2/2020,District of Columbia,Primary,D&R,21.6%,"531,355","580,664","110,688","1,559",,"114,890",https://electionresults.dcboe.org/election_results/2020-Primary-Election,
,Montana,Primary,D&R,45.7%,"835,544","848,078","149,973","213,358",352,"382,072",https://electionresults.mt.gov/,
,New Jersey (7/7),Primary,D&R,23.8%,"6,171,505","6,949,384","1,009,349","457,017",,"1,466,366",https://www.nj.gov/state/elections/election-information-2020.shtml#primary,
,New Mexico,Primary,D&R,27.8%,"1,503,992","1,629,960","247,514","157,570","1,561","417,538",https://electionresults.sos.state.nm.us/,
,South Dakota,Primary,D&R,23.9%,"641,492","672,685","56,414","93,956",,"153,031",http://electionresults.sd.gov/,
,,,,,,,,,,,,
State Primaries,,,,,,,,,,,,
Date,State,Election Type,Party,VEP Total Ballots Counted,Voting-Eligible Population (VEP),Voting-Age Population (VAP),Democrat,Republican,Minor,Total Ballots Counted,Total Ballots Counted May Include Under and Over Votes,
6/2/2020,Iowa,State Primary,D&R,23.0%,"2,308,622","2,436,145","276,692","229,721",,"531,131",https://results.enr.clarityelections.com/IA/103296/web.255599/#/summary,
6/9/2020,South Carolina,State Primary,D&R,19.6%,"3,916,090","4,091,913",,"469,043",,"767,187",https://www.enr-scvotes.org/SC/103402/Web02-state.250556/#/,Using Question 802 for total turnout
,Nevada,State Primary,D&R,22.5%,"2,137,552","2,431,125",,,,"480,855",https://silverstateelection.nv.gov/vote-turnout/,
6/23/2020,Virginia,State Primary,D&R,8.7%,"6,199,613","6,710,950","221,914","318,941",,"540,855",https://www.elections.virginia.gov/2020-election-results/,
6/30/2020,Colorado,State Primary,D&R,37.0%,"4,259,115","4,565,414",,,,"1,576,307",https://results.enr.clarityelections.com/CO/103901/web.255599/#/summary,
,Oklahoma,State Primary,D&R,23.8%,"2,838,767","3,023,336","271,175","375,227",,"674,591",https://results.okelections.us/OKER/?elecDate=20200630,
,Utah,State Primary,c,,,,,,,,https://electionresults.utah.gov/elections/,Only Republican statewide elections
7/14/2020,Alabama,State Primary,R,17.0%,"3,679,177","3,831,875",,"549,721",,"626,551",https://www2.alabamavotes.gov/electionnight/statewideResultsByContest.aspx?ecode=1001065,Republican Senate primary election only statewide election
8/8/2020,Hawaii,State Primary,D&R,40.3%,"1,008,618","1,114,755",,,,"406,425",https://www.hawaiinewsnow.com/2020/08/10/more-than-ballots-were-cast-thats-record-number-hawaii-primary/,
8/18/2020,Florida,State Primary,D&R,25.2%,"15,478,809","17,487,929",,,,"3,896,493",https://floridaelectionwatch.gov/CountyReportingStatus,
