year,q3_job_approval
1952,29
1956,69
1960,58.5
1968,39.25
1980,34
1984,54.57142857142857
1988,52.666666666666664
1992,35.714285714285715
1996,56.714285714285715
2000,59.25
2004,50.25
2008,30.857142857142858
2012,46.57142857142857
2016,51.30769230769231
2020,41.666666666666664
